Candidato;Coligação;Votos;
RAUL FILHO;PR;8
ZÉ ROBERTO;PT;2
NULO;;3
BRANCO;;2
SARGENTO ARAGÃO;PEN;3
CLÁUDIA LELIS;PV;6
AMASTHA;PSB;41
ZÉ ROBERTO;PT;9
RAUL FILHO;PR;133
AMASTHA;PSB;95
NULO;;21
SARGENTO ARAGÃO;PEN;7
BRANCO;;7
CLÁUDIA LELIS;PV;21
ZÉ ROBERTO;PT;7
RAUL FILHO;PR;128
AMASTHA;PSB;98
NULO;;24
SARGENTO ARAGÃO;PEN;16
BRANCO;;7
CLÁUDIA LELIS;PV;31
NULO;;14
ZÉ ROBERTO;PT;8
RAUL FILHO;PR;58
BRANCO;;11
CLÁUDIA LELIS;PV;31
SARGENTO ARAGÃO;PEN;5
AMASTHA;PSB;166
ZÉ ROBERTO;PT;8
RAUL FILHO;PR;44
AMASTHA;PSB;103
NULO;;20
SARGENTO ARAGÃO;PEN;3
BRANCO;;6
CLÁUDIA LELIS;PV;24
ZÉ ROBERTO;PT;11
RAUL FILHO;PR;153
AMASTHA;PSB;67
NULO;;16
SARGENTO ARAGÃO;PEN;5
BRANCO;;8
CLÁUDIA LELIS;PV;9
ZÉ ROBERTO;PT;7
RAUL FILHO;PR;134
AMASTHA;PSB;68
NULO;;29
SARGENTO ARAGÃO;PEN;5
BRANCO;;4
CLÁUDIA LELIS;PV;17
ZÉ ROBERTO;PT;11
RAUL FILHO;PR;136
AMASTHA;PSB;76
NULO;;22
SARGENTO ARAGÃO;PEN;3
BRANCO;;7
CLÁUDIA LELIS;PV;19
ZÉ ROBERTO;PT;9
RAUL FILHO;PR;152
AMASTHA;PSB;87
NULO;;16
SARGENTO ARAGÃO;PEN;9
BRANCO;;7
CLÁUDIA LELIS;PV;16
ZÉ ROBERTO;PT;11
RAUL FILHO;PR;147
AMASTHA;PSB;90
NULO;;20
SARGENTO ARAGÃO;PEN;4
BRANCO;;12
CLÁUDIA LELIS;PV;21
ZÉ ROBERTO;PT;11
RAUL FILHO;PR;173
AMASTHA;PSB;49
NULO;;20
SARGENTO ARAGÃO;PEN;4
BRANCO;;5
CLÁUDIA LELIS;PV;34
SARGENTO ARAGÃO;PEN;6
BRANCO;;5
NULO;;23
CLÁUDIA LELIS;PV;28
RAUL FILHO;PR;79
AMASTHA;PSB;147
ZÉ ROBERTO;PT;11
ZÉ ROBERTO;PT;11
RAUL FILHO;PR;49
AMASTHA;PSB;167
NULO;;13
SARGENTO ARAGÃO;PEN;10
BRANCO;;10
CLÁUDIA LELIS;PV;34
ZÉ ROBERTO;PT;7
RAUL FILHO;PR;97
AMASTHA;PSB;116
NULO;;18
SARGENTO ARAGÃO;PEN;4
BRANCO;;9
CLÁUDIA LELIS;PV;38
ZÉ ROBERTO;PT;3
RAUL FILHO;PR;119
AMASTHA;PSB;98
NULO;;26
SARGENTO ARAGÃO;PEN;6
BRANCO;;6
CLÁUDIA LELIS;PV;33
BRANCO;;9
NULO;;34
ZÉ ROBERTO;PT;7
SARGENTO ARAGÃO;PEN;3
AMASTHA;PSB;77
CLÁUDIA LELIS;PV;11
RAUL FILHO;PR;142
ZÉ ROBERTO;PT;18
RAUL FILHO;PR;146
AMASTHA;PSB;89
NULO;;27
SARGENTO ARAGÃO;PEN;2
BRANCO;;7
CLÁUDIA LELIS;PV;22
ZÉ ROBERTO;PT;8
RAUL FILHO;PR;61
AMASTHA;PSB;185
NULO;;22
SARGENTO ARAGÃO;PEN;7
BRANCO;;5
CLÁUDIA LELIS;PV;35
ZÉ ROBERTO;PT;7
RAUL FILHO;PR;116
AMASTHA;PSB;113
NULO;;25
SARGENTO ARAGÃO;PEN;10
BRANCO;;6
CLÁUDIA LELIS;PV;19
ZÉ ROBERTO;PT;11
RAUL FILHO;PR;106
AMASTHA;PSB;124
NULO;;12
SARGENTO ARAGÃO;PEN;5
BRANCO;;12
CLÁUDIA LELIS;PV;34
NULO;;26
ZÉ ROBERTO;PT;6
RAUL FILHO;PR;57
BRANCO;;4
CLÁUDIA LELIS;PV;26
SARGENTO ARAGÃO;PEN;12
AMASTHA;PSB;160
ZÉ ROBERTO;PT;8
RAUL FILHO;PR;40
AMASTHA;PSB;182
NULO;;22
SARGENTO ARAGÃO;PEN;6
BRANCO;;10
CLÁUDIA LELIS;PV;25
ZÉ ROBERTO;PT;4
RAUL FILHO;PR;54
AMASTHA;PSB;97
NULO;;18
SARGENTO ARAGÃO;PEN;2
BRANCO;;4
CLÁUDIA LELIS;PV;21
ZÉ ROBERTO;PT;5
RAUL FILHO;PR;104
AMASTHA;PSB;107
NULO;;17
SARGENTO ARAGÃO;PEN;10
BRANCO;;15
CLÁUDIA LELIS;PV;38
ZÉ ROBERTO;PT;8
RAUL FILHO;PR;55
AMASTHA;PSB;172
NULO;;17
SARGENTO ARAGÃO;PEN;3
BRANCO;;8
CLÁUDIA LELIS;PV;26
NULO;;12
ZÉ ROBERTO;PT;10
RAUL FILHO;PR;39
BRANCO;;4
CLÁUDIA LELIS;PV;22
SARGENTO ARAGÃO;PEN;4
AMASTHA;PSB;120
ZÉ ROBERTO;PT;13
RAUL FILHO;PR;138
AMASTHA;PSB;92
NULO;;22
SARGENTO ARAGÃO;PEN;8
BRANCO;;5
CLÁUDIA LELIS;PV;27
ZÉ ROBERTO;PT;4
RAUL FILHO;PR;41
AMASTHA;PSB;104
NULO;;14
SARGENTO ARAGÃO;PEN;6
BRANCO;;8
CLÁUDIA LELIS;PV;14
ZÉ ROBERTO;PT;14
RAUL FILHO;PR;114
AMASTHA;PSB;104
NULO;;16
SARGENTO ARAGÃO;PEN;6
BRANCO;;7
CLÁUDIA LELIS;PV;19
ZÉ ROBERTO;PT;13
RAUL FILHO;PR;142
AMASTHA;PSB;95
NULO;;11
SARGENTO ARAGÃO;PEN;6
BRANCO;;8
CLÁUDIA LELIS;PV;26
ZÉ ROBERTO;PT;8
RAUL FILHO;PR;101
AMASTHA;PSB;109
NULO;;31
SARGENTO ARAGÃO;PEN;6
BRANCO;;7
CLÁUDIA LELIS;PV;33
ZÉ ROBERTO;PT;8
RAUL FILHO;PR;55
AMASTHA;PSB;165
NULO;;13
SARGENTO ARAGÃO;PEN;4
BRANCO;;9
CLÁUDIA LELIS;PV;26
ZÉ ROBERTO;PT;3
RAUL FILHO;PR;61
AMASTHA;PSB;177
NULO;;23
SARGENTO ARAGÃO;PEN;14
BRANCO;;5
CLÁUDIA LELIS;PV;24
RAUL FILHO;PR;119
AMASTHA;PSB;108
CLÁUDIA LELIS;PV;23
ZÉ ROBERTO;PT;13
BRANCO;;10
NULO;;17
SARGENTO ARAGÃO;PEN;9
ZÉ ROBERTO;PT;3
RAUL FILHO;PR;129
AMASTHA;PSB;79
NULO;;30
SARGENTO ARAGÃO;PEN;2
BRANCO;;6
CLÁUDIA LELIS;PV;25
ZÉ ROBERTO;PT;5
RAUL FILHO;PR;113
AMASTHA;PSB;103
NULO;;16
SARGENTO ARAGÃO;PEN;8
BRANCO;;5
CLÁUDIA LELIS;PV;35
ZÉ ROBERTO;PT;11
RAUL FILHO;PR;54
AMASTHA;PSB;166
NULO;;17
SARGENTO ARAGÃO;PEN;4
BRANCO;;10
CLÁUDIA LELIS;PV;25
ZÉ ROBERTO;PT;5
RAUL FILHO;PR;51
AMASTHA;PSB;109
NULO;;20
SARGENTO ARAGÃO;PEN;6
BRANCO;;6
CLÁUDIA LELIS;PV;23
ZÉ ROBERTO;PT;6
RAUL FILHO;PR;49
AMASTHA;PSB;107
NULO;;14
SARGENTO ARAGÃO;PEN;7
BRANCO;;5
CLÁUDIA LELIS;PV;22
ZÉ ROBERTO;PT;15
RAUL FILHO;PR;62
AMASTHA;PSB;130
NULO;;22
SARGENTO ARAGÃO;PEN;6
BRANCO;;9
CLÁUDIA LELIS;PV;28
ZÉ ROBERTO;PT;13
RAUL FILHO;PR;103
AMASTHA;PSB;117
NULO;;25
SARGENTO ARAGÃO;PEN;3
BRANCO;;11
CLÁUDIA LELIS;PV;16
ZÉ ROBERTO;PT;7
SARGENTO ARAGÃO;PEN;10
BRANCO;;3
CLÁUDIA LELIS;PV;29
RAUL FILHO;PR;142
AMASTHA;PSB;95
NULO;;17
ZÉ ROBERTO;PT;5
RAUL FILHO;PR;98
AMASTHA;PSB;111
NULO;;23
SARGENTO ARAGÃO;PEN;12
BRANCO;;15
CLÁUDIA LELIS;PV;32
NULO;;28
ZÉ ROBERTO;PT;8
RAUL FILHO;PR;66
BRANCO;;11
CLÁUDIA LELIS;PV;21
SARGENTO ARAGÃO;PEN;7
AMASTHA;PSB;158
ZÉ ROBERTO;PT;9
RAUL FILHO;PR;153
AMASTHA;PSB;67
NULO;;26
SARGENTO ARAGÃO;PEN;7
BRANCO;;7
CLÁUDIA LELIS;PV;17
RAUL FILHO;PR;50
AMASTHA;PSB;102
CLÁUDIA LELIS;PV;21
ZÉ ROBERTO;PT;9
BRANCO;;10
NULO;;17
SARGENTO ARAGÃO;PEN;2
ZÉ ROBERTO;PT;12
RAUL FILHO;PR;132
AMASTHA;PSB;79
NULO;;24
SARGENTO ARAGÃO;PEN;9
BRANCO;;10
CLÁUDIA LELIS;PV;27
ZÉ ROBERTO;PT;5
RAUL FILHO;PR;139
AMASTHA;PSB;97
NULO;;27
SARGENTO ARAGÃO;PEN;10
BRANCO;;2
CLÁUDIA LELIS;PV;27
ZÉ ROBERTO;PT;6
RAUL FILHO;PR;61
AMASTHA;PSB;155
NULO;;19
SARGENTO ARAGÃO;PEN;10
BRANCO;;6
CLÁUDIA LELIS;PV;30
ZÉ ROBERTO;PT;5
RAUL FILHO;PR;39
AMASTHA;PSB;98
NULO;;11
SARGENTO ARAGÃO;PEN;4
BRANCO;;3
CLÁUDIA LELIS;PV;14
ZÉ ROBERTO;PT;7
RAUL FILHO;PR;113
AMASTHA;PSB;112
NULO;;25
SARGENTO ARAGÃO;PEN;9
BRANCO;;13
CLÁUDIA LELIS;PV;28
ZÉ ROBERTO;PT;6
RAUL FILHO;PR;52
AMASTHA;PSB;101
NULO;;19
SARGENTO ARAGÃO;PEN;2
BRANCO;;5
CLÁUDIA LELIS;PV;22
ZÉ ROBERTO;PT;9
RAUL FILHO;PR;65
AMASTHA;PSB;156
NULO;;19
SARGENTO ARAGÃO;PEN;6
BRANCO;;7
CLÁUDIA LELIS;PV;31
ZÉ ROBERTO;PT;5
RAUL FILHO;PR;61
AMASTHA;PSB;153
NULO;;24
SARGENTO ARAGÃO;PEN;4
BRANCO;;10
CLÁUDIA LELIS;PV;30
ZÉ ROBERTO;PT;9
RAUL FILHO;PR;129
AMASTHA;PSB;104
NULO;;19
SARGENTO ARAGÃO;PEN;9
BRANCO;;2
CLÁUDIA LELIS;PV;32
AMASTHA;PSB;164
CLÁUDIA LELIS;PV;33
SARGENTO ARAGÃO;PEN;7
RAUL FILHO;PR;57
NULO;;23
ZÉ ROBERTO;PT;10
BRANCO;;11
ZÉ ROBERTO;PT;15
RAUL FILHO;PR;107
AMASTHA;PSB;112
NULO;;14
SARGENTO ARAGÃO;PEN;4
BRANCO;;14
CLÁUDIA LELIS;PV;29
