Candidato;Coligação;Votos;
OLYNTHO;PSDB;29
PROFESSOR MAYST MAIA;PSOL;1
CHARLLES PITA;PEN;2
BRANCO;;6
PAULO ROBERTO;PPS;10
VALDEREZ;PP;93
ELY DO PRÓ-VIDA;REDE;3
RONALDO DIMAS;PR;74
NULO;;24
VALDEREZ;PP;73
ELY DO PRÓ-VIDA;REDE;1
RONALDO DIMAS;PR;79
NULO;;16
OLYNTHO;PSDB;24
PROFESSOR MAYST MAIA;PSOL;1
BRANCO;;3
PAULO ROBERTO;PPS;10
VALDEREZ;PP;45
ELY DO PRÓ-VIDA;REDE;4
RONALDO DIMAS;PR;97
NULO;;8
OLYNTHO;PSDB;30
PROFESSOR MAYST MAIA;PSOL;2
BRANCO;;5
PAULO ROBERTO;PPS;4
VALDEREZ;PP;73
ELY DO PRÓ-VIDA;REDE;2
RONALDO DIMAS;PR;117
PAULO ROBERTO;PPS;10
NULO;;14
PROFESSOR MAYST MAIA;PSOL;1
CHARLLES PITA;PEN;4
BRANCO;;4
OLYNTHO;PSDB;58
VALDEREZ;PP;74
ELY DO PRÓ-VIDA;REDE;4
RONALDO DIMAS;PR;129
PAULO ROBERTO;PPS;7
NULO;;12
PROFESSOR MAYST MAIA;PSOL;3
CHARLLES PITA;PEN;1
BRANCO;;6
OLYNTHO;PSDB;29
OLYNTHO;PSDB;45
PROFESSOR MAYST MAIA;PSOL;7
CHARLLES PITA;PEN;1
BRANCO;;4
PAULO ROBERTO;PPS;9
VALDEREZ;PP;71
ELY DO PRÓ-VIDA;REDE;4
RONALDO DIMAS;PR;109
NULO;;13
VALDEREZ;PP;80
ELY DO PRÓ-VIDA;REDE;7
RONALDO DIMAS;PR;105
PAULO ROBERTO;PPS;7
NULO;;18
PROFESSOR MAYST MAIA;PSOL;4
CHARLLES PITA;PEN;2
BRANCO;;2
OLYNTHO;PSDB;49
VALDEREZ;PP;91
ELY DO PRÓ-VIDA;REDE;4
RONALDO DIMAS;PR;110
PAULO ROBERTO;PPS;10
NULO;;8
PROFESSOR MAYST MAIA;PSOL;4
CHARLLES PITA;PEN;1
BRANCO;;3
OLYNTHO;PSDB;48
PAULO ROBERTO;PPS;7
OLYNTHO;PSDB;40
PROFESSOR MAYST MAIA;PSOL;6
CHARLLES PITA;PEN;2
RONALDO DIMAS;PR;125
NULO;;17
VALDEREZ;PP;64
ELY DO PRÓ-VIDA;REDE;2
BRANCO;;4
BRANCO;;3
NULO;;10
VALDEREZ;PP;69
ELY DO PRÓ-VIDA;REDE;5
CHARLLES PITA;PEN;3
PAULO ROBERTO;PPS;6
OLYNTHO;PSDB;51
PROFESSOR MAYST MAIA;PSOL;3
RONALDO DIMAS;PR;116
VALDEREZ;PP;80
ELY DO PRÓ-VIDA;REDE;5
RONALDO DIMAS;PR;101
PAULO ROBERTO;PPS;6
NULO;;15
PROFESSOR MAYST MAIA;PSOL;1
CHARLLES PITA;PEN;5
BRANCO;;2
OLYNTHO;PSDB;52
VALDEREZ;PP;64
ELY DO PRÓ-VIDA;REDE;4
RONALDO DIMAS;PR;119
PAULO ROBERTO;PPS;10
