Candidato;Coligação;Votos;
IRMÃO JAIRO;PSL;1
MARABÁ;PSL;1
ADÃO ÍNDIO;PSL;1
BENNA;PSL;3
GERSON DA MIL COISAS;PSL;2
RAFAEL BOFF;REDE;2
PROFESSOR ELIS RAIK;PR;2
LEONI JR.;PR;1
DR. FLÁVIO;PR;1
PROFESSORA FÁTIMA SENA;PR;2
PROFESSORA VANIA DO AURENY;PPS;1
CIRLEY DO CARRO DE SOM;PSDC;1
BUT BOLA DE FOGO;PSDC;1
DELBES BARBOSA;PSDC;1
REGINALDO SILVA;PRTB;1
CAPITÃO ARGOLLO;PRTB;1
RAIMUNDO CONTADOR;PHS;1
KASSYO FERNANDO;PHS;2
GLEYDSON FEIRA DO AUTOMÓVEL;PMN;1
ELAINE ROCHA;PMN;1
TIAGO ANDRINO;PSB;3
FELIPE ROCHA;PSB;2
ANDRÉ PORKÃO;PV;1
PROFESSOR JAMIR;PV;1
PROFESSORA FLAVIA;PV;1
LILI BEZERRA;PSDB;1
HIRAM GOMES;PSDB;3
NULO;;3
EVANDRO CHAVEIRINHO;PRB;1
DR LAZARA;PEN;1
NEY BATISTA;PEN;3
IVANETE LIMA;PEN;1
DR CIRINO;PEN;1
IVORY DE LIRA;PPL;1
CARLOS BRAGA;PSD;1
EULA ANGELIM;PSD;1
WALDSON DA AGESP;PC do B;1
LAUDECY COIMBRA;SD;1
MURILLO WILLAMY;PROS;1
PT;PT;1
PR;PR;1
ETINHO NORDESTE;PTB;1
OSEDI PEREIRA;PT;1
EDUARDO COSTA;PT;1
PROFESSOR ROMEU;PT;1
BISMARQUE DO MOVIMENTO;PT;1
PSB;PSB;1
MOISEMAR MARINHO;PDT;1
PROFESSOR GEORGE BRITO;PT;1
VANDIM DA CERAMICA;PSDC;3
CAP. EDIVARDES;PSDC;2
VITAL NUNES;PSDC;2
EDIMAR BAMBINO;PSDC;6
ANTONIO CASEBRE;PSDC;1
PROFESSORA IOLANDA CASTRO;PSDC;2
WILTON DO ZE BRANQUIM;PSDC;1
DIVINA MARCIA;PSDC;1
PATRICIA MENDES;PSDC;6
CÍCERO JÚNIOR;PRTB;1
GODOFREDO SANTANA;PHS;1
RAIMUNDO CONTADOR;PHS;1
KASSYO FERNANDO;PHS;1
EVANDRO SILVA;PHS;1
PAIAKAN;PHS;1
JOEL BORGES;PMN;2
ATHUS OLIVEIRA;PMN;2
RONEY DO EXTINTOR;PMN;2
ELAINE ROCHA;PMN;1
SOCORRO FRANCO;PMB;1
HENRIQUE DO TAQUARI;PMB;1
JUCELINO;PTC;4
ZEZINHO DA SAÚDE;PTC;2
SIMEY ARAÚJO;PTC;1
CARLINHOS DO CONSELHO;PTC;2
TIAGO ANDRINO;PSB;4
MARILON BARBOSA;PSB;3
KALENE CARDOSO;PSB;1
LÁZARO GOMES;PSB;1
GERUILSON JUNIM;PV;1
ALEX MACHADO;PV;1
DYOGO DO GORDO;PV;1
ERIVELTON;PV;1
LEANDRO BICUDO;PV;1
GOIANO;PV;7
FABINHO;PV;6
CAVALCANTE;PV;2
PROFESSOR JAMIR;PV;1
RAFAEL GUIROLLE;PRP;1
CLAUDEMIR PORTUGAL;PRP;2
PAULO DO IMAGINE;PPL;1
PETION CORADO;PPL;1
CARLOS BRAGA;PSD;3
DIOGO FERNANDES;PSD;1
FOLHA;PSD;3
PC LUSTOSA;PSD;1
VALTER RODRIGUES;PC do B;2
DALAT;PC do B;1
DR. WALTER BALESTRA;PC do B;2
WALDSON DA AGESP;PC do B;8
DR. CHAGAS;PC do B;1
LEO BARBOSA;SD;5
KARECA  DO FRETE;SD;2
PROFESSOR JUNIOR GEO;PROS;3
BARBOSÃO;PROS;1
IRMÃO JAIRO;PSL;1
GILVAN DO AURENY II;PSL;7
VELTO CHAPÉU PRETO;PSL;1
MARABÁ;PSL;3
CARLOS ARAÚJO;PSL;4
