Candidato;Coligação;Votos;
SARGENTO VALTENIR;PPS;5
GILBERTO SILVA;PPS;1
NETO TAVARES;PSDC;1
ZECA;PSDC;1
CARLOS SILVA;PSDC;2
GIDEON SOARES;PRTB;3
LUZIMAR COELHO;PRTB;1
ABRAÃO;PRTB;5
MAVIAEL BARBOSA;PHS;1
GILBERTO DA NOVA ARAGUAINA;PHS;2
MACHADINHO ARAUJO;PTC;1
ANGILEDSON ALENCAR;PTC;1
PIÇARRA;PTC;1
ELENICE;PTC;4
SANDRA BOLO;PTC;1
IRMÃ BETH MILHOMEM;PSB;1
PASTORA LILIANE;PV;1
JOAO VITOR;PV;2
SEVERINO PINTO;PV;3
RENILDO MARTINS;PV;1
JOSIVAL CORREIA;PV;1
EDIMAR LEANDRO;PRP;3
JOAQUIM ALVES;PRP;2
PROFº DELAN;PSDB;2
ZEZÉ CARDOSO;PSDB;1
ROSEWELT;PSDB;1
WILSON;PEN;1
CHAPADA;PEN;1
MARQUIM YOMURA;PEN;1
EDVARDO DIAS;PEN;1
REJANE RIBEIRO;PSD;3
JOAQUIM QUINTA NETO;PSD;2
PROFESSOR FRANKLIN;PC do B;1
TERCILIANO GOMES;SD;8
SOCORRO CRUZ;PRTB;1
MARIA MOTA;PRTB;1
JARBINHA ABUD;PRTB;4
PP;PP;5
PT;PT;1
PSC;PSC;1
CLEUDO NEGÃO;PRTB;3
ZEZÃO DO MOTO TÁXI;PRTB;2
PAULO JOSÉ;PRTB;1
PCB;PCB;1
PR;PR;3
PPS;PPS;1
PSDB;PSDB;1
PSOL;PSOL;1
PT DO B;PT do B;1
BRANCO;;4
NULO;;16
ALCIDES GUIMARAES;PRB;3
WAGNER ENOQUE;PRB;11
DIMENOR;PRB;1
ADRIANO BARBOSA;PRB;1
SONIA DA CASA COR DE ROSA;PRB;5
RADU;PP;1
JOSÉ GABARRÃO;PP;2
SOLDADO ALCIVAN;PP;11
LILIANE DO DELIMAR;PP;2
DIVINA BIBIBI;PP;1
ESQUERDINHA;PP;1
ANDRÉIA AYRES;PP;1
FRED VIGILANTE;PP;1
MANE MUDANÇA;PP;2
ORIVAN;PDT;2
MARIELLY;PDT;1
ISRAEL DA TEREZONA;PDT;4
NETO PAJEÚ;PDT;3
SILVINIA;PT;4
PALADIM;PT;1
MÁRCIO ZERBINI;PTB;2
CARLOS VIEIRA;PTB;1
GERALDO SILVA;PMDB;4
TOMAZ XAVIER;PMDB;3
FERREIRINHA;PMDB;2
JOSIAS FOTOGRAFO;PMDB;6
ENOQUE NETO;PSL;13
ERIMAR (DUDU);PSL;1
MINEIRO;PSC;1
MARIA RIBEIRO;PSC;1
PASTOR NILSON GOMES;PSC;1
LUCY MACHADO;PSC;2
